factory_name,subscription_id,subscription_name,activity_type,count
uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,1
uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,9
uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,2
uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,5
uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,10
vishu-adf-dbi,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,4
volvo-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
volvo-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
volvo-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
weather-pipeline-mglbe,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
wyiadf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,3
