activity_name,activity_type,activity_category,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,ir_type,linked_service,depends_on
Databricks - SQL API - Register Table,WebActivity,DataAccess,Register Delta Lake Folder As External Table in Unity Catalog,mido-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Trigger Databricks Workflow Pipeline,ExecutePipeline,ControlFlow,Execution Pipeline,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Trigger DB Workflow,WebActivity,DataAccess,Trigger DB Workflow,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait until DB Workflow Executes,Until,ControlFlow,Trigger DB Workflow,invoke-db-workflow-db-job-cluster,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Copy_jnq,Copy,DataMovement,CopyPipeline_jnq,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Notebook1,DatabricksNotebook,Transformation,adf_test_jmr,jmradftest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
NotebookJay,DatabricksNotebook,Transformation,pipelineJay,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Trigger Databricks Workflow,WebActivity,DataAccess,pawarit-adf-example,pawarit,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Job1,Unknown,Unknown,pipeline1,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
ForEach1,ForEach,ControlFlow,foreach-dataflow_copy1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
list tables,Lookup,DataAccess,foreach-dataflow_copy1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
ForEach1,ForEach,ControlFlow,foreach-dataflow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
list tables,Lookup,DataAccess,foreach-dataflow,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
snowflaketoblob,Copy,DataMovement,pipeline1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Data flow1,ExecuteDataFlow,Transformation,pipeline2,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
ForEach1,ForEach,ControlFlow,foreach-copy_copy1,Jyo-1204-ADF-snowflake,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
