pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,linked_service_name,compute_type_inferred,notebook_path,job_id,new_cluster_node_type,new_cluster_num_workers,new_cluster_version,existing_cluster_id,instance_pool_id,subscription_name
test_notebook_pipeline,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,test_task_2,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Test Simple Notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
TestPython,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,TestPython,DatabricksSparkPython,,unknown,,,,,,,,field-eng
adf_anf_test,anf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Test_anf,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Step1,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Step2,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Step3,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,anup-adf-explore,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1,pn-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,pn-test-adf,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline2,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
call_dbrx_notebook,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
