name,type,factory_name,factory_type,subscription_id,subscription_name,connect_via,description,datasets_using_it,pipelines_using_it
AzureBlobStorage1,AzureBlobStorage,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
vijiAzureDatabricksDeltaLake,AzureDatabricksDeltaLake,viji-one-env-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,ameya-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ameyaSqlServer,SqlServer,ameya-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage2,AzureBlobFS,rkh-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksJay,AzureDatabricks,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
testjob,AzureDatabricks,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksJayPool,AzureDatabricks,Jay-CanadaLife,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_JMR,AzureDatabricks,jmradftest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake2,AzureDatabricksDeltaLake,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
SharePointOnlineList1,SharePointOnlineList,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,asd,0,0
AzureDatabricks1,AzureDatabricks,test1r3214,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,sri-adg,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
sql_server,SqlServer,abdi-test-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
