factory_name,subscription_id,subscription_name,cost
ivylu-demo-airflow,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,635.628
fieldeng-migrations,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,598.9542
