factory_name,linkedServiceName,type,server,database,integrationRuntimeRef,subscription_name,table_count,pipeline_count_referencing
jok-adf,AzureSynapseAnalytics1,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
jok-adf,CosmosDb1,CosmosDb,,jokscratchdb,AutoResolveIntegrationRuntime,field-eng,0,0
jok-adf,SynapseScratchDB,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
jok-adf,SynapseJOKDW1,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
peteradfcuj,AmazonRdsForSqlServer1,AmazonRdsForSqlServer,sqlserver-cuj-sqlserver.cmeifwaki1jl.us-west-2.rds.amazonaws.com,testdb,peterintegrationruntime,azure-test-pm,0,0
apj-adf,AzureSynapseAnalytics1,AzureSqlDW,tau-synapse-source.sql.azuresynapse.net,tau_dedicated_synapse_pool,AutoResolveIntegrationRuntime,field-eng,0,0
peteh-adf,AzureSqlDatabase1,AzureSqlDatabase,petehhdisql.database.windows.net,hive,AutoResolveIntegrationRuntime,field-eng,1,0
ameya-data-factory,ameyaSqlServer,SqlServer,oneenvsql.database.windows.net,ameyasqldb,AutoResolveIntegrationRuntime,field-eng,0,0
mido-adf,AzureSqlDatabase1,AzureSqlDatabase,oneenvsql.database.windows.net,adventureworks,AutoResolveIntegrationRuntime,field-eng,0,0
pmt-adf-west-us,PmtAzureSqlDatabaseWestUs,AzureSqlDatabase,pmt-azure-sql-server-west-us.database.windows.net,pmt-azure-sql-database-west-us,AutoResolveIntegrationRuntime,azure-test-pm,0,0
test-sandesh,ls_azsql_database,AzureSqlDatabase,testsandeshazsql.database.windows.net,testsandesh-azsql,AutoResolveIntegrationRuntime,field-eng,0,0
adf-demo-snehil,MySql1,MySql,@{linkedService().Connection_String},test,AutoResolveIntegrationRuntime,field-eng,0,0
adf-demo-snehil,AzureSqlDatabase1,AzureSqlDatabase,bk-sqlserver.database.windows.net,bk-demo-sqldb,AutoResolveIntegrationRuntime,field-eng,0,0
ADFLLMCOLLABRSA,linkedServiceSQLServer,AzureSqlDatabase,rsacollab.database.windows.net,rsacollab-llmmigration,AutoResolveIntegrationRuntime,field-eng,0,0
