factory_name,subscription_id,subscription_name,pipeline_name,ingestion_cost,total_runs
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,pl_ingest_ecdc_data,3.0,45
steven-psa-orchestration,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,pipeline_table_ingestion,0.0167,1
