activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
SQL_to_ADLS,005 - Ingest to Delta Lake via Copy,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AzureSQL_MaintenanceDemo_ADFTest,NedParquet,Azure
Copy_fd9,Copy_win_totals,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Databricks Delta Lake,Azure SQL Database,,,SourceDataset_fd9,DestinationDataset_fd9,Azure
CopyDataFromDatabricks,CopyDatabricksToADLS,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Databricks Delta Lake,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,S_dbdemos_c360__churn_orders,D_dbdemos_c360__churn_orders,Azure
Copy data1,pipeline5,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,swdataset,swdataset,Azure
copy titanic,mb-test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,HTTP,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,titanic,titanicblob,Azure
sqldb_extract_load,sqldb_to_delta,ronguerreroadf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,sqldb_source_table,adls_source_table,Azure
Delta to Synapse,Extract Parquet to SQLDW,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Azure Synapse Analytics (SQL Pool),,,DeltaLake,SynapseScratch,Azure
Unzip Telemetry,Import Telemetry 2,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,datadrop,telemetry,Azure
Unzip archive in Blob,Import Telemetry,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,Binary1,Binary2,Azure
JSON2CSV,Databricks_Cluster_test1,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,REST API,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ListClusters,cluster_list,Azure
JSON2CSV,Databricks_Cluster_List_MI,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,REST API,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ListClusters_MI,cluster_list,Azure
JSON2CSV,Databricks_Cluster_List_and_Select_MI,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,REST API,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ListClusters_MI,cluster_list,Azure
