activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
copy-divisions,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
copy-inspections,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
copy-pipelines,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
copy-segments,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
copy-sensors,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
blob to sql,csvToSql,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Azure SQL Database,,,DelimitedText3,AzureSqlTable2,Azure
Copy_x9k,CopyPipeline_x9k,mm-test-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Databricks Delta Lake,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_x9k,DestinationDataset_x9k,Azure
Copy blob to blob,pipeline1,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DelimitedText1,DelimitedText2,Azure
Copy_5ze,Copy Test,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)","Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_5ze,DestinationDataset_5ze,Azure
Copy Data1,pipeline1,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SQL Server (on-premises),"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AzureSqlTable1,AzureDataLakeStorageFile1,Azure
Copy Data2,pipeline1,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SQL Server (on-premises),"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,CustomerAddresses,DataRawCustomerAddresses,Azure
Ingest Customer,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductModel,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductDescription,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest Product,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductModelProductDescription,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductCategory,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest Address,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest CustomerAddress,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest SalesOrderDetail,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest SalesOrderHeader,Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest Customer,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest ProductModel,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest ProductDescription,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest Product,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest ProductModelProductDescription,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest ProductCategory,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest Address,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest CustomerAddress,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest SalesOrderDetail,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
Ingest SalesOrderHeader,Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZoneJson,Azure
copy_maintenance_header to delta,fleetmaintenance-copy_toDelta_copy1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Databricks Delta Lake,,,ADLSLandingZone,AzureDatabricksDeltaLakeDataset,Azure
copy_maintenance_header to delta,fleetmaintenance-copy_toDelta,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,Databricks Delta Lake,,,ds_sql_fleetmaintenance,AzureDatabricksDeltaLakeDataset,Azure
copy_maintenance_header to delta,Delta-copyTo-fleetmaintenance2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Databricks Delta Lake,Azure SQL Database,,,AzureDatabricksDeltaLakeDataset2,ds_sql_fleetmaintenance3,Azure
copy_maintenance_header to landing,fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ds_sql_fleetmaintenance,ds_adls_parquet_maintenanceheader,Azure
copy_power_output to landing,fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ds_sql_fleetmaintenance,ds_adls_parquet_maintenanceheader,Azure
Copy data1,DBSQL_ODBC,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ODBC,ODBC,,,OdbcTable1,OdbcTable1,Azure
copy_maintenance_header,fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ds_sql_fleetmaintenance,ds_adls_parquet_maintenanceheader,Azure
copy_power_output,fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,ds_sql_fleetmaintenance,ds_adls_parquet_maintenanceheader,Azure
Copy data to ADLS ODBC,PL_ODBC_Decrypt_Generic,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ODBC,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DS_ODBCGEN,DS_ADLSGEN2,Azure
Incremental Data Copy,PL_Generic_SQL_CHANGETRACKING,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SQL Server (on-premises),"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,DS_SQL_Generic,DS_ADLSGEN2,Azure
Ingest Customer,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductModel,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductDescription,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest Product,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductModelProductDescription,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest ProductCategory,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest Address,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest CustomerAddress,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest SalesOrderDetail,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
Ingest SalesOrderHeader,Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure SQL Database,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,AdventureWorksOLTPTable,ADLSLandingZone,Azure
