pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,detected_technique,confidence,evidence,source_connector,sink_connector,has_watermark_lookup,has_downstream_sproc,has_downstream_spark,copy_upsert_enabled,cdc_references_found,watermark_references_found,subscription_name
Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest SalesOrderHeader,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Json),False,False,False,False,False,False,field-eng
fleetmaintenance-copy_toDelta_copy1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to delta,Copy,Full Load,High,default,AzureBlobFS (Parquet),AzureDatabricksDeltaLakeDataset,False,False,False,False,False,False,field-eng
fleetmaintenance-copy_toDelta,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to delta,Copy,Full Load,High,default,AzureSqlDatabase,AzureDatabricksDeltaLakeDataset,False,False,False,False,False,False,field-eng
Delta-copyTo-fleetmaintenance2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to delta,Copy,Full Load,High,default,AzureDatabricksDeltaLake,AzureSqlDatabase,False,False,False,False,False,False,field-eng
fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to landing,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
fleetmaintenance-copy,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_power_output to landing,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
DBSQL_ODBC,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,Odbc,Odbc,False,False,False,False,False,False,field-eng
fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
fleetmaintenance-copy_detailed,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_power_output,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
PL_ODBC_Decrypt_Generic,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data to ADLS ODBC,Copy,Full Load,High,default,Odbc,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
PL_Generic_SQL_CHANGETRACKING,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Incremental Data Copy,Copy,Full Load,High,default,SqlServer,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Customer,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductModel,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductDescription,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Databricks Workflow,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Product,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
