factory_name,subscription_id,activityName,pipelineName,runId,status,sourceType,sinkType,dataReadBytes,dataWrittenBytes,rowsRead,rowsCopied,copyDurationSec,throughputMBps,diusUsed,parallelCopies,irUsed,ir_type,queueDurationSec,transferDurationSec,estimatedCost,billing_meter_type,billable_duration,billable_unit,cost_formula,subscription_name
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,ef33d9f7-c9fd-40a8-aed0-18b21ade8168,Succeeded,HttpServer,AzureBlobFS,85887,85887,0,0,13,28.629,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,8,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,ef33d9f7-c9fd-40a8-aed0-18b21ade8168,Succeeded,HttpServer,AzureBlobFS,14445098,14445098,0,0,10,4815.033,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,5,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,ef33d9f7-c9fd-40a8-aed0-18b21ade8168,Succeeded,HttpServer,AzureBlobFS,1058540,1058540,0,0,12,352.847,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,7,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,5da546f7-aaf3-4d27-ae27-66d20bd82e3e,Succeeded,HttpServer,AzureBlobFS,14445098,14445098,0,0,23,2889.02,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,16,5,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,5da546f7-aaf3-4d27-ae27-66d20bd82e3e,Succeeded,HttpServer,AzureBlobFS,1058540,1058540,0,0,11,529.27,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,6,2,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,5da546f7-aaf3-4d27-ae27-66d20bd82e3e,Succeeded,HttpServer,AzureBlobFS,47308,47308,0,0,12,15.769,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,7,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,5da546f7-aaf3-4d27-ae27-66d20bd82e3e,Succeeded,HttpServer,AzureBlobFS,85887,85887,0,0,13,28.629,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,7,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,3fefa649-b2c4-473b-ae78-21622a2850fb,Succeeded,HttpServer,AzureBlobFS,47308,47308,0,0,11,23.654,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,7,2,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,3fefa649-b2c4-473b-ae78-21622a2850fb,Succeeded,HttpServer,AzureBlobFS,14445098,14445098,0,0,12,4815.033,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,7,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy ECDC Data,pl_ingest_ecdc_data,3fefa649-b2c4-473b-ae78-21622a2850fb,Succeeded,HttpServer,AzureBlobFS,85887,85887,0,0,14,28.629,4,1,AutoResolveIntegrationRuntime (Switzerland North),azure_ir,9,3,0.017667,AzureIR,0.016666666666666666,DIUHours,4 DIU x 0.0167h x $0.25/DIU-h = $0.0167,azure-test-pm
